Player,PTS,Salary
Kyle Lowry,13.4,"$26,984,128 "
Kyrie Irving,27.4,"$34,916,200 "
LaMarcus Aldridge,12.9,"$2,641,691 "
LaMelo Ball,20.1,"$8,231,760 "
Lamar Stevens,6.1,"$1,517,981 "
Lance Stephenson,9.3,"$924,730 "
Landry Shamet,8.3,"$3,768,342 "
Larry Nance Jr.,7.3,"$10,690,909 "
Lauri Markkanen,14.8,"$15,690,909 "
LeBron James,30.3,"$41,180,544 "
Leandro Bolmaro,1.4,"$2,353,320 "
Lonnie Walker IV,12.1,"$4,447,896 "
Lonzo Ball,13,"$18,604,651 "
Lou Williams,6.3,"$5,000,000 "
Luguentz Dort,17.2,"$1,782,621 "
Luka Dončić,28.4,"$10,174,391 "
Luka Garza,5.8,"$925,258 "
Luke Kennard,11.9,"$12,727,273 "
Luke Kornet,2.2,"$606,702 "
Malachi Flynn,4.3,"$2,048,040 "
Malcolm Brogdon,19.1,"$21,700,000 "
Malik Beasley,12.1,"$14,391,964 "
Malik Fitts,1.9,"$231,062 "
Malik Monk,13.8,"$1,789,256 "
Marcus Morris,15.4,"$15,627,907 "
Marcus Smart,12.1,"$14,339,285 "
Markelle Fultz,10.8,"$16,500,000 "
Markieff Morris,7.6,"$2,641,691 "
Marko Simonovic,1.9,"$925,258 "
Marquese Chriss,4.5,"$958,529 "
Marvin Bagley III,14.6,"$11,312,114 "
Mason Plumlee,6.5,"$8,137,500 "
Matisse Thybulle,5.7,"$2,840,160 "
Matt Thomas,4,"$1,669,178 "
Maurice Harkless,4.6,"$4,347,600 "
Max Strus,10.6,"$1,669,178 "
Maxi Kleber,7,"$8,750,000 "
Michael Porter Jr.,9.9,"$5,258,735 "
Mikal Bridges,14.2,"$5,557,725 "
Mike Conley,13.7,"$21,000,000 "
Mike Muscala,8,"$3,500,000 "
Miles Bridges,20.2,"$5,421,493 "
Miles McBride,2.2,"$925,258 "
Mitchell Robinson,8.5,"$1,802,057 "
Miye Oni,0.3,"$850,331 "
Mo Bamba,10.6,"$7,568,742 "
Monte Morris,12.6,"$8,333,333 "
Montrezl Harrell,11.4,"$9,720,900 "
Moritz Wagner,9,"$1,729,217 "
Moses Brown,6.4,"$1,720,779 "
Moses Moody,4.4,"$3,562,080 "
Myles Turner,12.9,"$18,000,000 "
Naji Marshall,5.7,"$1,517,981 "
Nassir Little,9.8,"$2,316,240 "
Naz Reid,8.3,"$1,782,621 "
Nemanja Bjelica,6.1,"$2,089,448 "
Nerlens Noel,3.4,"$8,800,000 "
Nic Claxton,8.7,"$1,782,621 "
Nick Richards,3,"$1,517,981 "
Nickeil Alexander-Walker,3.5,"$3,261,480 "
Nicolas Batum,8.3,"$12,213,507 "
Nikola Jokić,27.1,"$30,510,423 "
Nikola Vučević,17.6,"$24,000,000 "
Norman Powell,21.4,"$15,517,242 "
OG Anunoby,17.1,"$16,071,429 "
Obi Toppin,9,"$5,105,160 "
Omer Yurtseven,5.3,"$1,489,065 "
Onyeka Okongwu,8.2,"$6,104,280 "
Oshae Brissett,9.1,"$1,701,593 "
Otto Porter Jr.,8.2,"$2,389,641 "
P.J. Tucker,7.6,"$7,000,000 "
P.J. Washington,10.3,"$4,215,120 "
PJ Dozier,5.4,"$1,910,860 "
Pascal Siakam,22.8,"$31,320,000 "
Pat Connaughton,9.9,"$5,333,333 "
Patrick Beverley,9.2,"$14,320,988 "
Patrick Williams,9,"$7,422,000 "
Patty Mills,11.4,"$5,890,000 "
Paul George,24.3,"$39,344,970 "
Paul Millsap,3.7,"$2,641,691 "
Paul Reed,3.1,"$1,517,981 "
Payton Pritchard,6.2,"$2,137,440 "
Precious Achiuwa,9.1,"$2,711,280 "
Quentin Grimes,6,"$2,168,760 "
R.J. Hampton,7.6,"$2,303,040 "
RJ Barrett,20,"$8,623,920 "
RJ Nembhard Jr.,1.1,"$58,493 "
Rajon Rondo,6.2,"$2,641,691 "
Raul Neto,7.5,"$2,089,448 "
Rayjon Tucker,7.5,"$28,779 "
Reggie Bullock,8.6,"$9,536,000 "
Reggie Jackson,16.8,"$10,384,500 "
Richaun Holmes,10.4,"$10,384,500 "
Ricky Rubio,13.1,"$17,809,524 "
Robert Covington,10.4,"$12,975,471 "
Robert Williams,10,"$3,661,976 "
