Player,PTS,Salary,degree
Montrezl Harrell,11.4,"$9,720,900 ",86
Patty Mills,11.4,"$5,890,000 ",86
Kemba Walker,11.6,"$34,967,442 ",87
Sam Hauser,2.5,"$313,737 ",88
Udonis Haslem,2.5,"$2,641,691 ",88
Armoni Brooks,2.6,"$1,625,991 ",91
Gabriel Deck,2.6,"$1,690,507 ",91
Gary Clark,2.7,"$377,645 ",91
Josh Okogie,2.7,"$4,087,904 ",91
Kevin Knox,2.7,"$5,845,978 ",91
Rodney Hood,2.6,"$2,239,544 ",91
Clint Capela,11.1,"$17,103,448 ",92
Gary Harris,11.1,"$20,482,143 ",92
Grayson Allen,11.1,"$4,054,695 ",92
Charles Bassey,3,"$925,258 ",93
Elfrid Payton,3,"$2,239,544 ",93
Nick Richards,3,"$1,517,981 ",93
Tony Bradley,3,"$1,789,256 ",93
Skylar Mays,2.9,"$34,231 ",94
Cameron Payne,10.8,"$6,500,000 ",95
Darius Bazley,10.8,"$2,513,040 ",95
De'Anthony Melton,10.8,"$8,437,500 ",95
Derrick White,11,"$15,178,571 ",95
Dorian Finney-Smith,11,"$4,000,000 ",95
Hamidou Diallo,11,"$5,200,000 ",95
Markelle Fultz,10.8,"$16,500,000 ",95
Terance Mann,10.8,"$1,782,621 ",95
Daishen Nix,3.2,"$292,466 ",96
Dalano Banton,3.2,"$925,258 ",96
Devontae Cacok,3.1,"$364,533 ",96
Jahmi'us Ramsey,3.2,"$1,517,981 ",96
Paul Reed,3.1,"$1,517,981 ",96
Romeo Langford,2.8,"$3,804,360 ",96
Dennis Schröder,10.9,"$5,890,000 ",97
Duncan Robinson,10.9,"$15,560,000 ",97
Frank Jackson,10.6,"$3,000,000 ",101
Frank Kaminsky,10.6,"$2,089,448 ",101
Killian Tillie,3.3,"$2,000,000 ",101
Max Strus,10.6,"$1,669,178 ",101
Mo Bamba,10.6,"$7,568,742 ",101
Sterling Brown,3.3,"$3,000,000 ",101
Trent Forrest,3.3,"$8,558 ",101
Trey Lyles,10.6,"$2,500,000 ",101
Cedi Osman,10.7,"$8,050,000 ",102
Justise Winslow,10.7,"$3,902,439 ",102
Kent Bazemore,3.4,"$2,401,537 ",102
Nerlens Noel,3.4,"$8,800,000 ",102
Alfonzo McKinnie,3.5,"$1,090,007 ",103
Brandon Clarke,10.4,"$2,726,880 ",103
Gorgui Dieng,3.5,"$4,000,000 ",103
Jarrett Culver,3.5,"$6,395,160 ",103
Nickeil Alexander-Walker,3.5,"$3,261,480 ",103
Richaun Holmes,10.4,"$10,384,500 ",103
Robert Covington,10.4,"$12,975,471 ",103
Terence Davis,10.4,"$4,000,000 ",103
Tre Mann,10.4,"$2,901,240 ",103
Isaiah Joe,3.6,"$1,517,981 ",110
Thanasis Antetokounmpo,3.6,"$1,729,217 ",110
Donte DiVincenzo,10.3,"$4,675,830 ",111
Enes Freedom,3.7,"$2,641,691 ",111
Ivica Zubac,10.3,"$7,518,518 ",111
Jeff Green,10.3,"$4,500,000 ",111
KZ Okpala,3.7,"$1,782,621 ",111
P.J. Washington,10.3,"$4,215,120 ",111
Paul Millsap,3.7,"$2,641,691 ",111
Aaron Nesmith,3.8,"$3,631,200 ",114
Elijah Hughes,3.8,"$1,517,981 ",114
Jared Butler,3.8,"$925,258 ",114
Jordan McLaughlin,3.8,"$1,669,178 ",114
Devin Cannady,10,"$100,000 ",115
Garrison Mathews,10,"$1,093,598 ",115
Robert Williams,10,"$3,661,976 ",115
Talen Horton-Tucker,10,"$9,500,000 ",115
Terrence Ross,10,"$12,500,000 ",115
Al Horford,10.2,"$27,000,000 ",117
Ben McLemore,10.2,"$2,389,641 ",117
Duane Washington Jr.,9.9,"$21,270 ",119
Eric Bledsoe,9.9,"$18,125,000 ",119
Michael Porter Jr.,9.9,"$5,258,735 ",119
Pat Connaughton,9.9,"$5,333,333 ",119
Andre Iguodala,4,"$2,641,691 ",120
Bones Hyland,10.1,"$2,096,880 ",120
Greg Monroe,4,"$55,208 ",120
Isaiah Roby,10.1,"$1,782,621 ",120
Keon Johnson,9.7,"$2,553,120 ",120
Matt Thomas,4,"$1,669,178 ",120
Nassir Little,9.8,"$2,316,240 ",120
Trevor Ariza,4,"$2,641,691 ",120
Vernon Carey Jr.,4,"$1,517,981 ",120
Anthony Gill,4.1,"$1,517,981 ",121
Frank Ntilikina,4.1,"$1,789,256 ",121
Juan Toscano-Anderson,4.1,"$1,701,593 ",121
Santi Aldama,4.1,"$1,994,520 ",121
Semi Ojeleye,4.1,"$1,789,256 ",121
Vlatko Čančar,4.1,"$1,782,621 ",121
Aaron Wiggins,8.3,"$1,000,000 ",124
Alperen Şengün,9.6,"$3,214,680 ",124
Isaiah Hartenstein,8.3,"$3,430,810 ",124
Isaiah Jackson,8.3,"$2,451,120 ",124
Isaiah Stewart,8.3,"$3,277,080 ",124
Isaiah Thomas,8.3,"$276,039 ",124
Justin Holiday,8.3,"$6,006,420 ",124
Landry Shamet,8.3,"$3,768,342 ",124
Naz Reid,8.3,"$1,782,621 ",124
Nicolas Batum,8.3,"$12,213,507 ",124
Terry Taylor,9.6,"$21,270 ",124
Caleb Martin,9.2,"$527,614 ",127
Delon Wright,4.4,"$8,526,316 ",127
Georges Niang,9.2,"$3,300,000 ",127
JaVale McGee,9.2,"$5,000,000 ",127
Jabari Parker,4.4,"$1,068,288 ",127
Jaden McDaniels,9.2,"$2,063,280 ",127
Jaxson Hayes,9.3,"$5,348,280 ",127
Jonathan Kuminga,9.3,"$5,466,360 ",127
Lance Stephenson,9.3,"$924,730 ",127
Moses Moody,4.4,"$3,562,080 ",127
Patrick Beverley,9.2,"$14,320,988 ",127
Taj Gibson,4.4,"$4,910,000 ",127
Timothé Luwawu-Cabarrot,4.4,"$1,939,350 ",127
DeAndre Jordan,4.6,"$11,109,327 ",128
Herbert Jones,9.5,"$1,700,000 ",128
James Bouknight,4.6,"$4,154,400 ",128
Maurice Harkless,4.6,"$4,347,600 ",128
Svi Mykhailiuk,4.6,"$1,729,217 ",128
Boban Marjanović,4.3,"$3,500,000 ",129
Cam Thomas,8.5,"$2,036,280 ",129
Jaylen Nowell,8.5,"$1,782,621 ",129
John Konchar,4.8,"$2,197,674 ",129
Josh Green,4.8,"$2,957,520 ",129
Josh Jackson,4.3,"$5,005,350 ",129
Malachi Flynn,4.3,"$2,048,040 ",129
Mitchell Robinson,8.5,"$1,802,057 ",129
T.J. McConnell,8.5,"$7,500,000 ",129
Troy Brown Jr.,4.3,"$5,170,564 ",129
Xavier Tillman Sr.,4.8,"$1,517,981 ",129
Yuta Watanabe,4.3,"$1,762,769 ",129
Chris Boucher,9.4,"$7,009,615 ",130
Daniel Gafford,9.4,"$1,782,621 ",130
Jae Crowder,9.4,"$9,720,900 ",130
Greg Brown III,4.7,"$925,258 ",131
Khem Birch,4.5,"$6,350,000 ",131
Marquese Chriss,4.5,"$958,529 ",131
Udoka Azubuike,4.7,"$2,075,880 ",131
Amir Coffey,9,"$153,488 ",132
Bruce Brown,9,"$4,736,102 ",132
Kelly Olynyk,9.1,"$12,195,122 ",132
Moritz Wagner,9,"$1,729,217 ",132
Obi Toppin,9,"$5,105,160 ",132
Oshae Brissett,9.1,"$1,701,593 ",132
Patrick Williams,9,"$7,422,000 ",132
Precious Achiuwa,9.1,"$2,711,280 ",132
Willy Hernangómez,9.1,"$2,327,220 ",132
Jock Landale,4.9,"$925,258 ",133
Sam Merrill,4.2,"$663,024 ",133
Tomáš Satoranský,4.9,"$10,468,119 ",133
Ayo Dosunmu,8.8,"$925,258 ",134
Chuma Okeke,8.6,"$3,277,080 ",134
Dwight Powell,8.7,"$11,000,000 ",134
Gabe Vincent,8.7,"$1,669,178 ",134
Isaac Okoro,8.8,"$6,720,720 ",134
Ish Smith,8.6,"$4,500,000 ",134
Kenyon Martin Jr.,8.8,"$1,517,981 ",134
Nic Claxton,8.7,"$1,782,621 ",134
Reggie Bullock,8.6,"$9,536,000 ",134
Tyus Jones,8.7,"$7,522,200 ",134
Corey Kispert,8.2,"$3,383,640 ",135
D.J. Augustin,5.3,"$7,622,467 ",135
David Nwaba,5.1,"$4,650,000 ",135
Dean Wade,5.3,"$1,782,621 ",135
Derrick Favors,5.3,"$9,720,900 ",135
Dāvis Bertāns,5.3,"$16,000,000 ",135
Facundo Campazzo,5.1,"$3,804,150 ",135
Hassan Whiteside,8.2,"$2,401,537 ",135
Omer Yurtseven,5.3,"$1,489,065 ",135
Onyeka Okongwu,8.2,"$6,104,280 ",135
Otto Porter Jr.,8.2,"$2,389,641 ",135
Shake Milton,8.2,"$1,846,738 ",135
Trey Burke,5.1,"$3,333,333 ",135
Wesley Matthews,5.1,"$1,958,501 ",135
Day'Ron Sharpe,6.2,"$2,009,040 ",136
Dwight Howard,6.2,"$2,641,691 ",136
George Hill,6.2,"$4,000,000 ",136
Jalen McDaniels,6.2,"$1,782,621 ",136
Juancho Hernangómez,6.2,"$6,175,440 ",136
